priority,accession_number,title,record_type,collection_name,historical_theme,people,object_date,donor,neighborhood,observation_reasons,notes
low,SRM-2026-168,Snowball fight in Jackson,Artifact,SRM Collection,Family And Local Life,unidentified people,,,"Jackson, Mississippi",missing object date; missing donor/provenance,User identified the scene during 2026-07-18 metadata review as a snowball fight in Jackson.
low,SRM-2026-171,"4-H Club meeting at Piney Woods School, August 5-10, 1929",Artifact,SRM Collection,African American Education,unidentified 4-H Club members,1929,,Mississippi,missing donor/provenance,"Created from original SRM/72.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll025.png at distance 43, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-172,"Civil Rights Acts and Voting Rights Act committee print, November 1975",Artifact,SRM Collection,Civil Rights and Citizenship,,1975,,United States,missing donor/provenance,"Created from original SRM/73.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll022.png at distance 32, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-182,Portrait photograph of James Meredith,Photograph,Original SRM Intake Review,Civil Rights and Citizenship,James Meredith,,,Mississippi,missing object date; missing donor/provenance,"Identification provided by user on July 18, 2026 from image review."
low,SRM-2026-183,Portrait photograph of James Meredith's wife,Photograph,Original SRM Intake Review,Civil Rights and Citizenship,Mrs. James Meredith,,,Mississippi,missing object date; missing donor/provenance,"Identification provided by user on July 18, 2026. Personal name not yet confirmed in record."
low,SRM-2026-189,Portrait of a man by Charles King,Artwork,Original SRM Intake Review,Portraiture and Community Memory,,,,,missing donor/provenance; missing geography/neighborhood,"Artist attribution provided by user on July 18, 2026."
low,SRM-2026-191,Harlem Street Scene,Print,Original SRM Intake Review,Arts And Culture,Jacob Lawrence,1975,,,missing donor/provenance; missing geography/neighborhood,"Title, artist, and 1975 date provided by user on July 18, 2026."
low,SRM-2026-192,Drawing of Black legislators,Drawing,Original SRM Intake Review,Civic Leadership,,,,Mississippi,missing donor/provenance,"Subject identification provided by user on July 18, 2026."
low,SRM-2026-193,Painting of James Meredith and aspects of his life,Artwork,Original SRM Intake Review,Civil Rights and Citizenship,James Meredith,,,Mississippi,missing donor/provenance,"Identification provided by user on July 18, 2026."
low,SRM-2026-196,Laura J. Flowers (Former Slave),Photograph,Original SRM Intake Review,Family And Local Life,Laura J. Flowers; Mary Collier; Lelia Jane Flowers Milner,,,Mississippi,missing object date; missing donor/provenance,Caption on mount reads: Donated by Ms. Lelia Jane Flowers Milner.
low,SRM-2026-199,Midwife obstetrical scissors or angled birth tool,Artifact,Original SRM Intake Review,Midwives and Motherhood,,,,Scott Ford Houses,missing object date; missing donor/provenance,"Retitled and rethemed on July 18, 2026 after visual review and user guidance that midwife-related materials belong with Scott Ford."
low,SRM-2026-200,Mississippi State Board of Health midwife permit for T. J. Handy,Archive,Original SRM Intake Review,Midwives and Motherhood,T. J. Handy,1973-1974,,Scott Ford Houses,missing donor/provenance,"Identification updated from image text on July 18, 2026 and grouped with Scott Ford midwife-related materials per user guidance."
low,SRM-2026-201,Mississippi birth certificate for Laverne Brown,Archive,Original SRM Intake Review,Midwives and Motherhood,Laverne Brown; Annie L. Brown,1927-07-28,,Scott Ford Houses,missing donor/provenance,"Identification updated from image text on July 18, 2026 and grouped with Scott Ford midwife-related materials per user guidance."
low,SRM-2026-203,Otis Grocery Store on Farish Street,Photograph,Original SRM Intake Review,Black Business and Professional Life,,,,Farish Street,missing object date; missing donor/provenance,"Identification provided by user on July 18, 2026."
low,SRM-2026-204,Historic information about the Scott Ford family,Archive,Original SRM Intake Review,Family And Local Life,,,,Scott Ford Houses,missing object date; missing donor/provenance,"Removed from public view on July 18, 2026 at user request."
low,SRM-2026-205,Architect’s rendering of the Smith Robertson Museum,Archive,Original SRM Intake Review,African American Education,,,,Smith Robertson Campus,missing object date; missing donor/provenance,"Identification provided by user on July 18, 2026."
low,SRM-2026-206,Peaches Restaurant in Jackson,Photograph,Original SRM Intake Review,Black Business and Professional Life,,,,"Jackson, Mississippi",missing object date; missing donor/provenance,"Identification provided by user on July 18, 2026."
low,SRM-2026-207,Farish Street scene,Photograph,Original SRM Intake Review,Community and Professional Life,,,,Farish Street,missing object date; missing donor/provenance,"Date range and location provided by user on July 18, 2026."
low,SRM-2026-208,Farish Street storefront scene,Photograph,Original SRM Intake Review,Black Business and Professional Life,,,,Farish Street,missing object date; missing donor/provenance,"Date range and location provided by user on July 18, 2026."
low,SRM-2026-210,Farish Street business interior scene,Photograph,Original SRM Intake Review,Black Business and Professional Life,,,,Farish Street,missing object date; missing donor/provenance,"Date range and location provided by user on July 18, 2026."
low,SRM-2026-211,Farish Street traffic scene,Photograph,Original SRM Intake Review,Community and Professional Life,,,,Farish Street,missing object date; missing donor/provenance,"Date range and location provided by user on July 18, 2026."
low,SRM-2026-215,Funeral service program for Percy Greene,Archive,Original SRM Intake Review,Portraiture and Community Memory,Percy Greene; Thomas B. Brown Jr.,1977-04-21,,,missing donor/provenance; missing geography/neighborhood,"Program text identifies Reverend Thomas B. Brown, Jr. as officiating pastor."
low,SRM-2026-216,Laura J. Flowers,Photograph,Original SRM Intake Review,Family And Local Life,Laura J. Flowers; Mary Collier; Lelia Jane Flowers Milner,,,Mississippi,missing object date; missing donor/provenance,Caption reads: Donated by Ms. Lelia Jane Flowers Milner.
low,SRM-2026-217,Portrait of Rev. Richard C. Anderson,Photograph,Original SRM Intake Review,Civic Leadership,Rev. Richard C. Anderson; James Anderson; Excy Anderson Edwards,,,Mississippi,missing object date; missing donor/provenance,Caption reads: Donated by Excy Anderson Edwards of Jackson.
low,SRM-2026-218,Mississippi Legislative Black Caucus Political Education Fund program,Archive,Original SRM Intake Review,Civic Leadership,A. Michael Espy,1987-03-12,,Mississippi,missing donor/provenance,"Program lists speaker: The Honorable A. Michael Espy, Member, United States Congress, 2nd Congressional District of Mississippi."
low,SRM-2026-219,Photograph of James Meredith in a crowd,Photograph,Original SRM Intake Review,Civil Rights and Citizenship,James Meredith,,,Mississippi,missing object date; missing donor/provenance,"Identification provided by user on July 18, 2026."
low,SRM-2026-220,Black and Tan Republican Party Headquarters on Farish Street,Photograph,Smith Robertson Photograph Collection,Civil Rights and Citizenship,Perry Howard; Jessie B. Mosley,,,Farish Street,missing object date; missing donor/provenance,Caption states that the party became a separate group for blacks around 1890 and was headed for many years by lawyer Perry Howard. Donated by Jessie B. Mosley.
low,SRM-2026-294,Mr. Willie Wynn studio portrait,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,Willie Wynn,,,"Jackson, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 1.png."
low,SRM-2026-296,Washboard in galvanized wash tub,Photograph,Dr. Townsend Collection,Family And Local Life,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 3.png."
low,SRM-2026-297,Outhouse at Jennings Place in Port Gibson,Photograph,Dr. Townsend Collection,Family And Local Life,,,,"Port Gibson, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 4.png."
low,SRM-2026-298,"Historic Pictorial Group of the Members of the Legislature, State of Mississippi, 1878-1879",Archive,Dr. Townsend Collection,Civic Leadership,,1878-1879,,Mississippi,missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 5.png."
low,SRM-2026-300,The New Chardenal annotated volume,Artifact,Dr. Townsend Collection,African American Education,,,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 7.png."
low,SRM-2026-301,Principles and Technique of Teaching,Artifact,Dr. Townsend Collection,African American Education,Frank W. Thomas,,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 8.png."
low,SRM-2026-302,Key to High School Algebra volume,Artifact,Dr. Townsend Collection,African American Education,,,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 9.png."
low,SRM-2026-305,Advanced French Prose Composition,Artifact,Dr. Townsend Collection,African American Education,Victor E. Francois,,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 12.png."
low,SRM-2026-306,Architectural cast-metal bookends,Artifact,Dr. Townsend Collection,Material Culture and Interpretation,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 13.png."
low,SRM-2026-307,Desk pen stand with upright pen,Artifact,Dr. Townsend Collection,Material Culture and Interpretation,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 14.png."
low,SRM-2026-309,"The Alcornite yearbook cover, 1948",Archive,Dr. Townsend Collection,African American Education,,1948,,"Lorman, Mississippi",missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 16.png."
low,SRM-2026-310,"The Alcornite yearbook cover, 1929",Archive,Dr. Townsend Collection,African American Education,,1929,,"Lorman, Mississippi",missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 17.png."
low,SRM-2026-311,Forum 1927 cover,Archive,Dr. Townsend Collection,African American Education,,1927,,Geographies To Be Confirmed,missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 18.png."
low,SRM-2026-312,The New Broadman Hymnal,Artifact,Dr. Townsend Collection,Family And Local Life,,,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 19.png."
low,SRM-2026-313,Modern Business Course and Service volume,Artifact,Dr. Townsend Collection,Black Business and Professional Life,Alexander Hamilton Institute,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 20.png."
low,SRM-2026-314,"A Tribute to Robert Smith, M.D.",Archive,Dr. Townsend Collection,Black Health and Medicine,"Robert Smith, M.D.",,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 21.png."
low,SRM-2026-315,"T. L. Zuber, A.B., M.D. portrait",Photograph,Dr. Townsend Collection,Black Health and Medicine,T. L. Zuber,,,"West Point, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 22.png."
low,SRM-2026-316,Dr. Carmichael of Canton portrait,Photograph,Dr. Townsend Collection,Black Health and Medicine,Dr. Carmichael,,,"Canton, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 23.png."
low,SRM-2026-317,Urban commercial corridor streetscape,Photograph,Dr. Townsend Collection,Black Business and Professional Life,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 24.png."
low,SRM-2026-318,"House Concurrent Resolution No. 93 for Reverend Robert L. T. Smith, Sr.",Archive,Dr. Townsend Collection,Civic Leadership,"Robert L. T. Smith, Sr.",,,"Jackson, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 25.png."
low,SRM-2026-319,Pentecostal Temple at 960 Kane Street,Photograph,Dr. Townsend Collection,Family And Local Life,,,,"Jackson, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 26.png."
low,SRM-2026-320,Historical marker for photographer Richard Beadle,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,Richard Beadle,,,"Jackson, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 27.png."
low,SRM-2026-321,Two-story wood-frame residence with stacked porches,Photograph,Dr. Townsend Collection,Family And Local Life,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 28.png."
low,SRM-2026-323,Kwame Ture campus lecture flyer and biographical sheet,Archive,Dr. Townsend Collection,Civil Rights and Citizenship,Kwame Ture; Stokely Carmichael,1986-12-04,,Mississippi,missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 30.png."
low,SRM-2026-327,Aaron E. Henry biographical portrait and caption,Archive,Dr. Townsend Collection,Civil Rights and Citizenship,Aaron E. Henry,,,"Coahoma County, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 34.png."
low,SRM-2026-331,"Brinkley faculty, 1952-1953",Photograph,Dr. Townsend Collection,African American Education,,1952-1953,,Mississippi,missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 38.png."
low,SRM-2026-332,Flucker: The Buffalo Soldier on the American Frontier cover,Archive,Dr. Townsend Collection,Civil Rights and Citizenship,Turrie Flucker,,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 39.png."
low,SRM-2026-333,Panoramic view of W. H. Lanier High School,Photograph,Dr. Townsend Collection,African American Education,,,,"Jackson, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 40.png."
low,SRM-2026-336,Barbara Beadle Barber introduction to the Richard H. Beadle Collection of Black Doctors in Mississippi,Archive,Dr. Townsend Collection,Black Health and Medicine,Barbara Beadle Barber; Richard H. Beadle,,,"Jackson, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 43.png."
low,SRM-2026-340,Office interview or administrative meeting,Photograph,Dr. Townsend Collection,Community and Professional Life,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 47.png."
low,SRM-2026-341,Two women working together at a table,Photograph,Dr. Townsend Collection,Community and Professional Life,Mrs. Bruce,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 48.png."
low,SRM-2026-343,Barbecue at Ms. Mitchell's in 1958,Photograph,Dr. Townsend Collection,Family And Local Life,Ms. Mitchell,1958,,Geographies To Be Confirmed,missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 50.png."
low,SRM-2026-344,Committee or club meeting around table,Photograph,Dr. Townsend Collection,Community and Professional Life,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 51.png."
low,SRM-2026-345,Front view of two-story institutional building,Photograph,Dr. Townsend Collection,African American Education,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 52.png."
low,SRM-2026-347,Freedom Came to Mississippi title page,Archive,Dr. Townsend Collection,Civil Rights and Citizenship,,,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 54.png."
low,SRM-2026-348,Ida B. Wells marker dedication program cover,Archive,Dr. Townsend Collection,Civil Rights and Citizenship,Ida B. Wells,,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 55.png."
low,SRM-2026-349,Mississippi Legislative Black Caucus Political Education Fund banquet program,Archive,Dr. Townsend Collection,Civic Leadership,,,,Mississippi,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 56.png."
low,SRM-2026-354,Mississippi-shaped board and Jackson Club history,Archive,Dr. Townsend Collection,Community and Professional Life,Jackson Club members,,,"Jackson, Mississippi",missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 62.png."
low,SRM-2026-357,Three boys at school cafeteria table,Photograph,Dr. Townsend Collection,African American Education,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 65.png."
low,SRM-2026-358,Recorder lesson at Mt. Moriah Elementary School,Photograph,Dr. Townsend Collection,African American Education,fifth-grade students,,,Mt. Moriah Elementary School,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 66.png."
low,SRM-2026-359,Business and Professional Women's Club member examining garments,Photograph,Dr. Townsend Collection,Community and Professional Life,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 67.png."
low,SRM-2026-360,Girl Scouts Troop 181 arts-and-crafts display,Photograph,Dr. Townsend Collection,African American Education,Girl Scouts Troop 181,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 68.png."
low,SRM-2026-410,"Woman entering the Leflore County Courthouse, undated",Photograph,,Civil Rights and Citizenship,,undated,,Geographies To Be Confirmed,no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/50.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
low,SRM-2026-459,"Older woman holding an infant, January 1979",Photograph,,Midwives and Motherhood,,1979,,Geographies To Be Confirmed,no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/99.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
low,SRM-2026-561,"Group photograph in front of Barrett Hall at Jackson College, early 20th century",Photograph,B. Baldwin Dansby Collection,African American Education,unidentified students and faculty,early 20th century,,Jackson State University Campus,generic subject title,"Imported from /Users/Birittany/Downloads/Dansby.zip item 33.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
low,SRM-2026-577,"Management Policy Seminar group photograph including Clarie Collins Harvey, 1965",Photograph,Biographical and Civic History Collection,Community and Professional Life,Clarie Collins Harvey,1965,,National,generic subject title,"Imported from /Users/Birittany/Downloads/Freedom Day Celebration 1991.zip item 8.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
low,SRM-2026-585,"Jackson City Hall building photograph, undated",Photograph,Civic Leadership Collection,Civic Leadership,,undated,,Downtown Jackson,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Freedom Day Celebration 1991.zip item 16.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
low,SRM-2026-588,"Greyhound bus station building photograph, undated",Photograph,Photograph Collection,Community and Professional Life,,undated,,Downtown Jackson,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Freedom Day Celebration 1991.zip item 19.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
low,SRM-2026-637,"Jackson College teacher-training sophomores group photograph under Dr. B. B. Dansby, undated",Photograph,Dr. S. D. Redmond Collection,African American Education,Jackson College sophomores; B. B. Dansby,undated,,"Jackson, Mississippi",generic subject title,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/49.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-650,"Group portrait of women and children, undated",Photograph,John and Vera Mae Perkins Collection,Family And Local Life,unidentified women; unidentified children,undated,,Geographies To Be Confirmed,generic subject title,"Imported from /Users/Birittany/Downloads/January 1971/10.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
low,SRM-2026-667,"Porch group portrait, undated",Photograph,John and Vera Mae Perkins Collection,Family And Local Life,unidentified adults,undated,,Geographies To Be Confirmed,generic subject title,"Imported from /Users/Birittany/Downloads/January 1971/27.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
low,SRM-2026-687,"Choir or congregational group portrait, undated",Photograph,John and Vera Mae Perkins Collection,Faith And Community Life,choir members,undated,,Geographies To Be Confirmed,generic subject title,"Imported from /Users/Birittany/Downloads/January 1971/47.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
low,SRM-2026-699,"Woman preparing food beside a large pot, undated",Photograph,Youngs Collection,Family And Local Life,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (2.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-706,"Outdoor group gathering around tables, undated",Photograph,Youngs Collection,Community and Professional Life,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (9.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-713,"Child seated on wooden house steps, undated",Photograph,Youngs Collection,Family And Local Life,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (16.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-724,"Group gathered on porch steps, undated",Photograph,Youngs Collection,Family And Local Life,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (27.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-734,"Man standing in a field or work yard, undated",Photograph,Youngs Collection,Family And Local Life,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (37.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-738,"Man posed in a doorway or entryway, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (41.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-742,"Woman with children in a classroom or meeting space, undated",Photograph,Youngs Collection,African American Education,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (45.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-745,"Portrait of an infant or toddler, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (48.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-746,"Man carrying a serving tray, undated",Photograph,Youngs Collection,Community and Professional Life,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (49.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-752,"Children gathered outdoors, undated",Photograph,Youngs Collection,Family And Local Life,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (55.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-753,"Portrait of a boy in a striped shirt, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (56.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-755,"Woman walking outdoors in formal dress, undated",Photograph,Youngs Collection,Arts And Culture,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (58.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-756,"Art in the Park performance or procession, undated",Photograph,Youngs Collection,Arts And Culture,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (59.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026. Additional label note: Art in the Park."
low,SRM-2026-760,"Outdoor portrait of a couple, undated",Photograph,Youngs Collection,Family And Local Life,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (63.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-767,"Majorette or dance-line performance, undated",Photograph,Youngs Collection,Arts And Culture,,undated,,Geographies To Be Confirmed,no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (70.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
low,SRM-2026-775,"Lawrence A. Jones, Margaret Burroughs, and Karl Griffin seated together, undated",Photograph,,Arts And Culture,Lawrence A. Jones; Margaret Burroughs; Karl Griffin,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/1.png on 2026-08-05."
low,SRM-2026-776,"Community meeting around a conference table, undated",Photograph,,Community and Professional Life,,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/2.png on 2026-08-05."
low,SRM-2026-778,"Typing classroom with students at typewriters, undated",Photograph,,African American Education,,undated,Piney Woods School,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/4.png on 2026-08-05. Legacy accession label visible in image: 83.13.11. Alternate accession corrected from an earlier reading on August 6, 2026."
low,SRM-2026-779,"House and parked car, undated",Photograph,,Family And Local Life,,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/5.png on 2026-08-05."
low,SRM-2026-782,"House doorway with wooden porch, undated",Photograph,,Family And Local Life,,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/8.png on 2026-08-05."
low,SRM-2026-784,"Charles H. Wilson posed in front of the school with students, undated",Photograph,,African American Education,Charles H. Wilson,undated,Ada Wilson,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/10.png on 2026-08-05. Legacy accession label visible in image: 83.15.7. Identification and donor context supplied on August 6, 2026."
low,SRM-2026-789,"Baseball players behind a chain-link fence, undated",Photograph,,African American Education,,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/16.png on 2026-08-05."
low,SRM-2026-791,"Outdoor labor or logging scene, undated",Photograph,,Community and Professional Life,,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/19.png on 2026-08-05."
low,SRM-2026-792,"Figure standing in a field, undated",Photograph,,Family And Local Life,,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/20.png on 2026-08-05."
low,SRM-2026-793,"Printed portrait of Richmond Barthe, undated",Archive,,Arts And Culture,Richmond Barthe,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/21.png on 2026-08-05. Printed caption identifies the subject as Richmond Barthe."
low,SRM-2026-794,"Printed portrait of Mary Leontyne Price, undated",Archive,,Arts And Culture,Mary Leontyne Price,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/22.png on 2026-08-05. Printed caption identifies the subject as Mary Leontyne Price."
low,SRM-2026-795,"Cooperative worker sewing stuffed dolls at Rose Hill near Lexington, undated",Photograph,,Community and Professional Life,,undated,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/23.png on 2026-08-05. Handwritten note reads: ""Coop worker at Rose Hill nr. Lexington."""
low,SRM-2026-797,"Southern Changes, October-November 1978",Archive,,Civil Rights and Citizenship,,October-November 1978,,,missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/25.png on 2026-08-05. Cover lines visible in image: ""The Courtesy of Becoming a Federal Judge,"" ""Vivian Malone Jones and the VEP,"" and ""ERA and the Southern Black Woman."""
